hour,day,lighting,police_presence,incidents_24h,crowd_density,latitude,longitude,distance,traffic_density,risk_score
6,1,94.84890649970694,99.69939907173308,4,0.0,12.972103237671197,77.53385836562354,13.426381613649783,86.47449542079598,20.593305342235993
19,3,56.57755436041272,75.05231439239114,3,23.85228586794716,13.02217342181002,77.49891976020803,3.996798465413258,56.73558630137253,32.66512315994713
14,5,75.36746321827218,26.996558793712246,3,4.378354110976403,12.978440453413329,77.59462434746969,4.8423808581832395,64.16163710273835,40.26765258590533
10,6,100.0,56.93272393131678,3,61.524805339024326,12.929072346460416,77.58905046985015,5.463042938097026,56.86340468958204,36.12285990308827
7,1,94.14515048020964,79.16050551128649,1,50.01618087886636,13.078288995328244,77.60657898584113,4.1204840265812335,55.78653956246932,34.17198892806054
20,3,59.888625507869385,20.076016918479965,2,59.08886922496193,13.009440248787223,77.73584137566918,9.716304371305673,57.743237577175215,34.53109866831439
6,5,61.61864186515769,51.53966282814308,1,46.863458342944206,12.870302548967679,77.63116859004343,4.704221495100619,1.6816464357765355,36.35353974173545
18,5,90.08916400458213,52.48145451438987,4,8.171067493867469,12.960494951687837,77.63173155098671,11.916806540284083,43.75203787901178,24.144771188463967
22,1,100.0,24.510142350019546,2,65.40564107764206,13.1154740371636,77.48840742885832,4.365337579782631,79.05652776427894,21.072333849698467
10,6,69.80706685997603,57.59100609224459,2,100.0,13.076570959359985,77.74894665985305,0.9384140451735692,100.0,42.88252067256437
10,4,100.0,72.32492781036251,3,62.2763773581964,12.946974035183201,77.6818534832704,12.241671577826057,19.89227668651225,33.036778394392606
23,4,58.96463973949485,80.16095182838306,4,37.222262020473025,13.131454945613353,77.71316100322821,5.722665964683948,60.57699900810882,30.876853625946662
20,5,88.79900908774505,45.01271796748109,2,7.157984716836644,12.872980872507462,77.5742901235493,6.007196655331982,35.723835553141456,18.209019242826606
3,4,92.52889405618217,100.0,3,22.75799087720104,13.138370411167656,77.60063842873569,21.161744198181246,100.0,22.423057988822254
7,0,54.75098740368067,8.840664932064897,4,63.59118969716177,12.923711527745402,77.60662514274868,0.5,16.155430980212962,58.5981502030599
23,5,46.32304801745896,57.12433419628925,2,82.19354080398125,12.852728254090726,77.50822836178688,2.7982642551940042,65.623487257897,30.95568505935515
2,5,93.63472971368383,21.754113601402892,3,57.825985241659275,12.980142410955498,77.65684674689808,1.3662364056415,14.819722512395252,46.308868961297605
21,3,51.71107656892358,51.80365274993799,2,73.9966186911795,12.957691128906102,77.72089301708523,4.977027727203824,42.03583329847919,36.51012330485963
20,4,42.64125218311493,39.56186499789941,5,71.23034732081729,13.011726701562038,77.49911174544152,8.220449169594499,49.142166731254775,44.58064174158392
1,6,47.90101245502258,60.137549127811226,7,65.19603174157753,13.089031858170953,77.47589548204586,16.952876317060124,76.7422920434902,57.34959397361684
23,5,51.60966653936471,47.46238571795612,4,30.245792142162323,13.102729240645134,77.6714656716621,3.0311433531632392,23.070829346036803,26.96940076503124
11,6,86.41542761564193,33.480316439469675,2,55.21770535925457,12.970368999883508,77.5319605495019,7.713997768183938,66.58457622118463,33.78255325768733
5,0,77.8760668319047,34.794181048720404,0,24.548665883535854,12.978953723111905,77.6371587624852,12.44768227650585,50.469443084698675,34.1710395726905
1,3,82.89145611894727,88.64918994899105,3,50.52286858874305,12.894453319098842,77.65872750139765,5.749403167401118,56.81983465714949,28.155691355409843
